;name;unit;threshold;WUH_measured;name;unit;threshold;TIE_measured;name;unit;threshold;TEG_measured;name;unit;threshold;STO_measured;name;unit;threshold;SPA_measured;name;unit;threshold;KAU_measured;name;unit;threshold;BEE_measured;name;unit;threshold;KLA_measured
146;Benzo[k]fluoranthen;mg/l;;0,00001;Benzo[k]fluoranthen;mg/l;;0,00001;Benzo[k]fluoranthen;mg/l;;0,00001;Benzo[k]fluoranthen;mg/l;;0,00001;Benzo[k]fluoranthen;mg/l;;0,00001;Benzo[k]fluoranthen;mg/l;;0,00001;Benzo[k]fluoranthen;mg/l;;<0,00001;Benzo[k]fluoranthen;mg/l;;<0,00001
147;Benzo[g,h,i]perylen;mg/l;;0,00001;Benzo[g,h,i]perylen;mg/l;;0,00001;Benzo[g,h,i]perylen;mg/l;;0,00001;Benzo[g,h,i]perylen;mg/l;;0,00001;Benzo[g,h,i]perylen;mg/l;;0,00001;Benzo[g,h,i]perylen;mg/l;;0,00001;Benzo[g,h,i]perylen;mg/l;;<0,00001;Benzo[g,h,i]perylen;mg/l;;<0,00001
148;Indeno[1,2,3-c,d]pyren;mg/l;;0,00001;Indeno[1,2,3-c,d]pyren;mg/l;;0,00001;Indeno[1,2,3-c,d]pyren;mg/l;;0,00001;Indeno[1,2,3-c,d]pyren;mg/l;;0,00001;Indeno[1,2,3-c,d]pyren;mg/l;;0,00001;Indeno[1,2,3-c,d]pyren;mg/l;;0,00001;Indeno[1,2,3-c,d]pyren;mg/l;;<0,00001;Indeno[1,2,3-c,d]pyren;mg/l;;<0,00001
149;Trichlormethan;mg/l;;0,0005;Trichlormethan;mg/l;;0,0005;Trichlormethan;mg/l;;0,0005;Trichlormethan;mg/l;;0,0005;Trichlormethan;mg/l;;0,0005;Trichlormethan;mg/l;;0,0005;Trichlormethan;mg/l;;<0,0005;Trichlormethan;mg/l;;<0,0005
150;Bromdichlormethan;mg/l;;0,0005;Bromdichlormethan;mg/l;;0,0005;Bromdichlormethan;mg/l;;0,0005;Bromdichlormethan;mg/l;;0,0005;Bromdichlormethan;mg/l;;0,0005;Bromdichlormethan;mg/l;;0,0005;Bromdichlormethan;mg/l;;<0,0005;Bromdichlormethan;mg/l;;<0,0005
151;Dibromchlormethan;mg/l;;0,0005;Dibromchlormethan;mg/l;;0,0005;Dibromchlormethan;mg/l;;0,0005;Dibromchlormethan;mg/l;;0,0005;Dibromchlormethan;mg/l;;0,0005;Dibromchlormethan;mg/l;;0,0005;Dibromchlormethan;mg/l;;<0,0005;Dibromchlormethan;mg/l;;<0,0005
152;Tribrommethan;mg/l;;0,0005;Tribrommethan;mg/l;;0,0005;Tribrommethan;mg/l;;0,0005;Tribrommethan;mg/l;;0,0005;Tribrommethan;mg/l;;0,0005;Tribrommethan;mg/l;;0,0005;Tribrommethan;mg/l;;<0,0005;Tribrommethan;mg/l;;<0,0005
153;TOC;mg/l;;4,5;TOC;mg/l;;3,9;TOC;mg/l;;4,6;TOC;mg/l;;5,1;TOC;mg/l;;4,9;TOC;mg/l;;2,4;TOC;mg/l;;3,2;TOC;mg/l;;3,3
154;Temperatur;°C;;11,3;Temperatur;°C;;12,2;Temperatur;°C;;12,7;Temperatur;°C;;11,4;Temperatur;°C;;12,4;Temperatur;°C;;11,5;Temperatur;°C;;12,3;Temperatur;°C;;12
155;Sauerstoff;mg/l;;9,6;Sauerstoff;mg/l;;9,6;Sauerstoff;mg/l;;8,4;Sauerstoff;mg/l;;10,0;Sauerstoff;mg/l;;9,2;Sauerstoff;mg/l;;7,6;Sauerstoff;mg/l;;9,6;Sauerstoff;mg/l;;8,7
156;Sättigungs-pH;-;;7,2;Sättigungs-pH;-;;7,2;Sättigungs-pH;-;;7,4;Sättigungs-pH;-;;7,4;Sättigungs-pH;-;;7,4;Sättigungs-pH;-;;7,2;Sättigungs-pH;-;;7,3;Sättigungs-pH;-;;7,4
157;Karbonathärte;°dH;;13,3;Karbonathärte;°dH;;13,3;Karbonathärte;°dH;;10,0;Karbonathärte;°dH;;11,0;Karbonathärte;°dH;;10,8;Karbonathärte;°dH;;12,3;Karbonathärte;°dH;;11,3;Karbonathärte;°dH;;10,8
158;Gesamthärte;°dH;;22,9;Gesamthärte;°dH;;20,9;Gesamthärte;°dH;;14,9;Gesamthärte;°dH;;14,7;Gesamthärte;°dH;;14,7;Gesamthärte;°dH;;18,8;Gesamthärte;°dH;;16,2;Gesamthärte;°dH;;15,5
159;Calcium;mg/l;;138;Calcium;mg/l;;132;Calcium;mg/l;;91;Calcium;mg/l;;89;Calcium;mg/l;;93;Calcium;mg/l;;113;Calcium;mg/l;;101;Calcium;mg/l;;97
160;Magnesium;mg/l;;15,2;Magnesium;mg/l;;10,8;Magnesium;mg/l;;9,1;Magnesium;mg/l;;9,7;Magnesium;mg/l;;7,8;Magnesium;mg/l;;12,9;Magnesium;mg/l;;9,1;Magnesium;mg/l;;8,3
161;Kalium;mg/l;;8,1;Kalium;mg/l;;4,6;Kalium;mg/l;;7,5;Kalium;mg/l;;3,7;Kalium;mg/l;;3,5;Kalium;mg/l;;5,2;Kalium;mg/l;;3,3;Kalium;mg/l;;2,9
162;AOX;µg/l;;10;AOX;µg/l;;10;AOX;µg/l;;10;AOX;µg/l;;10;AOX;µg/l;;10;AOX;µg/l;;10;AOX;µg/l;;<10;AOX;µg/l;;<10
163;Zink;µg/l;;10;Zink;µg/l;;10;Zink;µg/l;;10;Zink;µg/l;;10;Zink;µg/l;;10;Zink;µg/l;;10;Zink;µg/l;;<10;Zink;µg/l;;<10
164;Dichlormethan;µg/l;;0,5;Dichlormethan;µg/l;;0,5;Dichlormethan;µg/l;;0,5;Dichlormethan;µg/l;;0,5;Dichlormethan;µg/l;;0,5;Dichlormethan;µg/l;;0,5;Dichlormethan;µg/l;;<0,5;Dichlormethan;µg/l;;<0,5
165;Tetrachlormethan;µg/l;;0,5;Tetrachlormethan;µg/l;;0,5;Tetrachlormethan;µg/l;;0,5;Tetrachlormethan;µg/l;;0,5;Tetrachlormethan;µg/l;;0,5;Tetrachlormethan;µg/l;;0,5;Tetrachlormethan;µg/l;;<0,5;Tetrachlormethan;µg/l;;<0,5
166;trans-Dichlorethen;µg/l;;0,5;trans-Dichlorethen;µg/l;;0,5;trans-Dichlorethen;µg/l;;0,5;trans-Dichlorethen;µg/l;;0,5;trans-Dichlorethen;µg/l;;0,5;trans-Dichlorethen;µg/l;;0,5;trans-Dichlorethen;µg/l;;<0,5;trans-Dichlorethen;µg/l;;<0,5
167;cis-Dichlorethen;µg/l;;0,1;cis-Dichlorethen;µg/l;;0,1;cis-Dichlorethen;µg/l;;0,1;cis-Dichlorethen;µg/l;;0,2;cis-Dichlorethen;µg/l;;0,1;cis-Dichlorethen;µg/l;;0,1;cis-Dichlorethen;µg/l;;<0,1;cis-Dichlorethen;µg/l;;0,2
168;Hexachlorbutadien;µg/l;;0,01;Hexachlorbutadien;µg/l;;0,01;Hexachlorbutadien;µg/l;;0,01;Hexachlorbutadien;µg/l;;0,01;Hexachlorbutadien;µg/l;;0,01;Hexachlorbutadien;µg/l;;0,01;Hexachlorbutadien;µg/l;;<0,01;Hexachlorbutadien;µg/l;;<0,01
169;1,2-Dichlorpropan;µg/l;;0,1;1,2-Dichlorpropan;µg/l;;0,1;1,2-Dichlorpropan;µg/l;;0,1;1,2-Dichlorpropan;µg/l;;0,1;1,2-Dichlorpropan;µg/l;;0,1;1,2-Dichlorpropan;µg/l;;0,1;1,2-Dichlorpropan;µg/l;;<0,1;1,2-Dichlorpropan;µg/l;;<0,1
170;Ethylbenzen;µg/l;;0,5;Ethylbenzen;µg/l;;0,5;Ethylbenzen;µg/l;;0,5;Ethylbenzen;µg/l;;0,5;Ethylbenzen;µg/l;;0,5;Ethylbenzen;µg/l;;0,5;Ethylbenzen;µg/l;;<0,5;Ethylbenzen;µg/l;;<0,5
171;m,p-Xylen;µg/l;;0,5;m,p-Xylen;µg/l;;0,5;m,p-Xylen;µg/l;;0,5;m,p-Xylen;µg/l;;0,5;m,p-Xylen;µg/l;;0,5;m,p-Xylen;µg/l;;0,5;m,p-Xylen;µg/l;;<0,5;m,p-Xylen;µg/l;;<0,5
172;o-Xylen;µg/l;;0,5;o-Xylen;µg/l;;0,5;o-Xylen;µg/l;;0,5;o-Xylen;µg/l;;0,5;o-Xylen;µg/l;;0,5;o-Xylen;µg/l;;0,5;o-Xylen;µg/l;;<0,5;o-Xylen;µg/l;;<0,5
173;Cumen;µg/l;;0,5;Cumen;µg/l;;0,5;Cumen;µg/l;;0,5;Cumen;µg/l;;0,5;Cumen;µg/l;;0,5;Cumen;µg/l;;0,5;Cumen;µg/l;;<0,5;Cumen;µg/l;;<0,5
174;Chlorbenzen;µg/l;;0,1;Chlorbenzen;µg/l;;0,1;Chlorbenzen;µg/l;;0,1;Chlorbenzen;µg/l;;0,1;Chlorbenzen;µg/l;;0,1;Chlorbenzen;µg/l;;0,5;Chlorbenzen;µg/l;;<0,1;Chlorbenzen;µg/l;;<0,1
175;1,3-Dichlorbenzen;µg/l;;0,5;1,3-Dichlorbenzen;µg/l;;0,5;1,3-Dichlorbenzen;µg/l;;0,5;1,3-Dichlorbenzen;µg/l;;0,5;1,3-Dichlorbenzen;µg/l;;0,5;1,3-Dichlorbenzen;µg/l;;0,5;1,3-Dichlorbenzen;µg/l;;<0,5;1,3-Dichlorbenzen;µg/l;;<0,5
176;1,4-Dichlorbenzen;µg/l;;0,5;1,4-Dichlorbenzen;µg/l;;0,5;1,4-Dichlorbenzen;µg/l;;0,5;1,4-Dichlorbenzen;µg/l;;0,5;1,4-Dichlorbenzen;µg/l;;0,5;1,4-Dichlorbenzen;µg/l;;0,5;1,4-Dichlorbenzen;µg/l;;<0,5;1,4-Dichlorbenzen;µg/l;;<0,5
177;1,2-Dichlorbenzen;µg/l;;0,5;1,2-Dichlorbenzen;µg/l;;0,5;1,2-Dichlorbenzen;µg/l;;0,5;1,2-Dichlorbenzen;µg/l;;0,5;1,2-Dichlorbenzen;µg/l;;0,5;1,2-Dichlorbenzen;µg/l;;0,5;1,2-Dichlorbenzen;µg/l;;<0,5;1,2-Dichlorbenzen;µg/l;;<0,5
178;NTA;µg/l;;2;NTA;µg/l;;2;NTA;µg/l;;2;NTA;µg/l;;2;NTA;µg/l;;2;NTA;µg/l;;2;NTA;µg/l;;<2;NTA;µg/l;;<2
179;Phenylsulfonylsarcosin;µg/l;;0,02;Phenylsulfonylsarcosin;µg/l;;0,02;Phenylsulfonylsarcosin;µg/l;;0,02;Phenylsulfonylsarcosin;µg/l;;0,02;Phenylsulfonylsarcosin;µg/l;;0,02;Phenylsulfonylsarcosin;µg/l;;0,02;Phenylsulfonylsarcosin;µg/l;;<0,02;Phenylsulfonylsarcosin;µg/l;;<0,02
180;TOC;mg/l;;3,2;TOC;mg/l;;3,2;TOC;mg/l;;3,2;TOC;mg/l;;3,2;TOC;mg/l;;3,2;TOC;mg/l;;3,2;TOC;mg/l;;3,2;TOC;mg/l;;3,2
181;Tributylphosphat;µg/l;;0,10;Tributylphosphat;µg/l;;0,10;Tributylphosphat;µg/l;;0,10;Tributylphosphat;µg/l;;0,10;Tributylphosphat;µg/l;;0,10;Tributylphosphat;µg/l;;0,10;Tributylphosphat;µg/l;;<0,10;Tributylphosphat;µg/l;;<0,10
182;Triphenylphosphat;µg/l;;0,10;Triphenylphosphat;µg/l;;0,10;Triphenylphosphat;µg/l;;0,10;Triphenylphosphat;µg/l;;0,10;Triphenylphosphat;µg/l;;0,10;Triphenylphosphat;µg/l;;0,10;Triphenylphosphat;µg/l;;<0,10;Triphenylphosphat;µg/l;;<0,10
183;Tris-(2-chlorethyl)phosphat;µg/l;;0,10;Tris-(2-chlorethyl)phosphat;µg/l;;0,10;Tris-(2-chlorethyl)phosphat;µg/l;;0,10;Tris-(2-chlorethyl)phosphat;µg/l;;0,10;Tris-(2-chlorethyl)phosphat;µg/l;;0,10;Tris-(2-chlorethyl)phosphat;µg/l;;0,10;Tris-(2-chlorethyl)phosphat;µg/l;;<0,10;Tris-(2-chlorethyl)phosphat;µg/l;;<0,10
184;ETBE;µg/l;;0,03;ETBE;µg/l;;0,03;ETBE;µg/l;;0,03;ETBE;µg/l;;0,03;ETBE;µg/l;;0,03;ETBE;µg/l;;0,03;ETBE;µg/l;;<0,03;ETBE;µg/l;;<0,03
185;TBA;µg/l;;1,0;TBA;µg/l;;1,0;TBA;µg/l;;1,0;TBA;µg/l;;1,0;TBA;µg/l;;1,0;TBA;µg/l;;1,0;TBA;µg/l;;<1,0;TBA;µg/l;;<1,0
186;Clofibrinsäure;µg/l;;0,025;Clofibrinsäure;µg/l;;0,025;Clofibrinsäure;µg/l;;0,025;Clofibrinsäure;µg/l;;0,025;Clofibrinsäure;µg/l;;0,025;Clofibrinsäure;µg/l;;0,025;Clofibrinsäure;µg/l;;<0,025;Clofibrinsäure;µg/l;;<0,025
187;Bezafibrat;µg/l;;0,01;Bezafibrat;µg/l;;0,01;Bezafibrat;µg/l;;0,01;Bezafibrat;µg/l;;0,01;Bezafibrat;µg/l;;0,01;Bezafibrat;µg/l;;0,01;Bezafibrat;µg/l;;<0,01;Bezafibrat;µg/l;;<0,01
188;Carbamazepin-10,11-diol;µg/l;;0,03;Carbamazepin-10,11-diol;µg/l;;0,04;Carbamazepin-10,11-diol;µg/l;;0,13;Carbamazepin-10,11-diol;µg/l;;0,02;Carbamazepin-10,11-diol;µg/l;;0,02;Carbamazepin-10,11-diol;µg/l;;0,02;Carbamazepin-10,11-diol;µg/l;;0,04;Carbamazepin-10,11-diol;µg/l;;0,02
189;Acridin-9-carbonsäure;µg/l;;0,05;Acridin-9-carbonsäure;µg/l;;0,05;Acridin-9-carbonsäure;µg/l;;0,10;Acridin-9-carbonsäure;µg/l;;0,05;Acridin-9-carbonsäure;µg/l;;0,05;Acridin-9-carbonsäure;µg/l;;0,05;Acridin-9-carbonsäure;µg/l;;<0,05;Acridin-9-carbonsäure;µg/l;;<0,05
190;Dimethylaminophenazon;µg/l;;0,02;Dimethylaminophenazon;µg/l;;0,02;Dimethylaminophenazon;µg/l;;0,02;Dimethylaminophenazon;µg/l;;0,02;Dimethylaminophenazon;µg/l;;0,02;Dimethylaminophenazon;µg/l;;0,02;Dimethylaminophenazon;µg/l;;<0,02;Dimethylaminophenazon;µg/l;;<0,02
191;AAA;µg/l;;0,02;AAA;µg/l;;0,02;AAA;µg/l;;0,02;AAA;µg/l;;0,02;AAA;µg/l;;0,02;AAA;µg/l;;0,02;AAA;µg/l;;<0,02;AAA;µg/l;;<0,02
192;N-Acetyl-sulfamethoxazol;µg/l;;0,02;N-Acetyl-sulfamethoxazol;µg/l;;0,02;N-Acetyl-sulfamethoxazol;µg/l;;0,02;N-Acetyl-sulfamethoxazol;µg/l;;0,02;N-Acetyl-sulfamethoxazol;µg/l;;0,02;N-Acetyl-sulfamethoxazol;µg/l;;0,02;N-Acetyl-sulfamethoxazol;µg/l;;<0,02;N-Acetyl-sulfamethoxazol;µg/l;;<0,02
193;FAA;µg/l;;0,10;FAA;µg/l;;0,05;FAA;µg/l;;0,03;FAA;µg/l;;0,02;FAA;µg/l;;0,02;FAA;µg/l;;0,02;FAA;µg/l;;0,03;FAA;µg/l;;<0,02
194;Koffein;µg/l;;0,10;Koffein;µg/l;;0,10;Koffein;µg/l;;0,10;Koffein;µg/l;;0,10;Koffein;µg/l;;0,10;Koffein;µg/l;;0,10;Koffein;µg/l;;<0,10;Koffein;µg/l;;<0,10
195;Metoprolol;µg/l;;0,025;Metoprolol;µg/l;;0,025;Metoprolol;µg/l;;0,025;Metoprolol;µg/l;;0,025;Metoprolol;µg/l;;0,025;Metoprolol;µg/l;;0,025;Metoprolol;µg/l;;<0,025;Metoprolol;µg/l;;<0,025
196;Phenylethylmalonamid;µg/l;;0,03;Phenylethylmalonamid;µg/l;;0,03;Phenylethylmalonamid;µg/l;;0,04;Phenylethylmalonamid;µg/l;;0,03;Phenylethylmalonamid;µg/l;;0,03;Phenylethylmalonamid;µg/l;;0,01;Phenylethylmalonamid;µg/l;;<0,03;Phenylethylmalonamid;µg/l;;<0,03
197;Pregabalin;µg/l;;0,01;Pregabalin;µg/l;;0,01;Pregabalin;µg/l;;0,01;Pregabalin;µg/l;;0,01;Pregabalin;µg/l;;0,01;Pregabalin;µg/l;;0,01;Pregabalin;µg/l;;<0,01;Pregabalin;µg/l;;<0,01
198;Oxipurinol;µg/l;;0,05;Oxipurinol;µg/l;;0,05;Oxipurinol;µg/l;;0,43;Oxipurinol;µg/l;;0,05;Oxipurinol;µg/l;;0,05;Oxipurinol;µg/l;;0,05;Oxipurinol;µg/l;;<0,05;Oxipurinol;µg/l;;<0,05
199;Candesartan;µg/l;;0,01;Candesartan;µg/l;;0,01;Candesartan;µg/l;;0,10;Candesartan;µg/l;;0,01;Candesartan;µg/l;;0,01;Candesartan;µg/l;;0,01;Candesartan;µg/l;;0,02;Candesartan;µg/l;;<0,01
200;Olmesartan;µg/l;;0,01;Olmesartan;µg/l;;0,01;Olmesartan;µg/l;;0,10;Olmesartan;µg/l;;0,01;Olmesartan;µg/l;;0,01;Olmesartan;µg/l;;0,01;Olmesartan;µg/l;;0,02;Olmesartan;µg/l;;<0,01
201;Irbesartan;µg/l;;0,02;Irbesartan;µg/l;;0,02;Irbesartan;µg/l;;0,02;Irbesartan;µg/l;;0,02;Irbesartan;µg/l;;0,02;Irbesartan;µg/l;;0,02;Irbesartan;µg/l;;<0,02;Irbesartan;µg/l;;<0,02
202;Losartan;µg/l;;0,03;Losartan;µg/l;;0,03;Losartan;µg/l;;0,03;Losartan;µg/l;;0,03;Losartan;µg/l;;0,03;Losartan;µg/l;;0,03;Losartan;µg/l;;<0,03;Losartan;µg/l;;<0,03
203;DEET;µg/l;;0,03;DEET;µg/l;;0,03;DEET;µg/l;;0,03;DEET;µg/l;;0,03;DEET;µg/l;;0,03;DEET;µg/l;;0,03;DEET;µg/l;;<0,03;DEET;µg/l;;<0,03
