;name;unit;threshold;WUH_measured;name;unit;threshold;TIE_measured;name;unit;threshold;TEG_measured;name;unit;threshold;STO_measured;name;unit;threshold;SPA_measured;name;unit;threshold;KAU_measured;name;unit;threshold;BEE_measured;name;unit;threshold;KLA_measured
27;e-HCH;mg/l;0,0001;0,00001;e-HCH;mg/l;0,0001;0,00001;e-HCH;mg/l;0,0001;0,00001;e-HCH;mg/l;0,0001;0,00001;e-HCH;mg/l;0,0001;0,00001;e-HCH;mg/l;0,0001;0,00001;e-HCH;mg/l;0,0001;<0,00001;e-HCH;mg/l;0,0001;<0,00001
28;o,p-DDE;mg/l;0,0001;0,00001;o,p-DDE;mg/l;0,0001;0,00001;o,p-DDE;mg/l;0,0001;0,00001;o,p-DDE;mg/l;0,0001;0,00001;o,p-DDE;mg/l;0,0001;0,00001;o,p-DDE;mg/l;0,0001;0,00001;o,p-DDE;mg/l;0,0001;<0,00001;o,p-DDE;mg/l;0,0001;<0,00001
29;p,p-DDE;mg/l;0,0001;0,00001;p,p-DDE;mg/l;0,0001;0,00001;p,p-DDE;mg/l;0,0001;0,00001;p,p-DDE;mg/l;0,0001;0,00001;p,p-DDE;mg/l;0,0001;0,00001;p,p-DDE;mg/l;0,0001;0,00001;p,p-DDE;mg/l;0,0001;<0,00001;p,p-DDE;mg/l;0,0001;<0,00001
30;o,p-DDD;mg/l;0,0001;0,00001;o,p-DDD;mg/l;0,0001;0,00001;o,p-DDD;mg/l;0,0001;0,00001;o,p-DDD;mg/l;0,0001;0,00001;o,p-DDD;mg/l;0,0001;0,00001;o,p-DDD;mg/l;0,0001;0,00001;o,p-DDD;mg/l;0,0001;<0,00001;o,p-DDD;mg/l;0,0001;<0,00001
31;p,p-DDD;mg/l;0,0001;0,00001;p,p-DDD;mg/l;0,0001;0,00001;p,p-DDD;mg/l;0,0001;0,00001;p,p-DDD;mg/l;0,0001;0,00001;p,p-DDD;mg/l;0,0001;0,00001;p,p-DDD;mg/l;0,0001;0,00001;p,p-DDD;mg/l;0,0001;<0,00001;p,p-DDD;mg/l;0,0001;<0,00001
32;o,p-DDT;mg/l;0,0001;0,00001;o,p-DDT;mg/l;0,0001;0,00001;o,p-DDT;mg/l;0,0001;0,00001;o,p-DDT;mg/l;0,0001;0,00001;o,p-DDT;mg/l;0,0001;0,00001;o,p-DDT;mg/l;0,0001;0,00001;o,p-DDT;mg/l;0,0001;<0,00001;o,p-DDT;mg/l;0,0001;<0,00001
33;p,p-DDT;mg/l;0,0001;0,00001;p,p-DDT;mg/l;0,0001;0,00001;p,p-DDT;mg/l;0,0001;0,00001;p,p-DDT;mg/l;0,0001;0,00001;p,p-DDT;mg/l;0,0001;0,00001;p,p-DDT;mg/l;0,0001;0,00001;p,p-DDT;mg/l;0,0001;<0,00001;p,p-DDT;mg/l;0,0001;<0,00001
34;Aldrin;mg/l;0,00003;0,000005;Aldrin;mg/l;0,00003;0,000005;Aldrin;mg/l;0,00003;0,000005;Aldrin;mg/l;0,00003;0,000005;Aldrin;mg/l;0,00003;0,000005;Aldrin;mg/l;0,00003;0,000005;Aldrin;mg/l;0,00003;<0,000005;Aldrin;mg/l;0,00003;<0,000005
35;Isodrin;mg/l;0,0001;0,00001;Isodrin;mg/l;0,0001;0,00001;Isodrin;mg/l;0,0001;0,00001;Isodrin;mg/l;0,0001;0,00001;Isodrin;mg/l;0,0001;0,00001;Isodrin;mg/l;0,0001;0,00001;Isodrin;mg/l;0,0001;<0,00001;Isodrin;mg/l;0,0001;<0,00001
36;Mirex;mg/l;0,0001;0,00001;Mirex;mg/l;0,0001;0,00001;Mirex;mg/l;0,0001;0,00001;Mirex;mg/l;0,0001;0,00001;Mirex;mg/l;0,0001;0,00001;Mirex;mg/l;0,0001;0,00001;Mirex;mg/l;0,0001;<0,00001;Mirex;mg/l;0,0001;<0,00001
37;Dieldrin;mg/l;0,00003;0,000005;Dieldrin;mg/l;0,00003;0,000005;Dieldrin;mg/l;0,00003;0,000005;Dieldrin;mg/l;0,00003;0,000005;Dieldrin;mg/l;0,00003;0,000005;Dieldrin;mg/l;0,00003;0,000005;Dieldrin;mg/l;0,00003;<0,000005;Dieldrin;mg/l;0,00003;<0,000005
38;Endrin;mg/l;0,0001;0,00001;Endrin;mg/l;0,0001;0,00001;Endrin;mg/l;0,0001;0,00001;Endrin;mg/l;0,0001;0,00001;Endrin;mg/l;0,0001;0,00001;Endrin;mg/l;0,0001;0,00001;Endrin;mg/l;0,0001;<0,00001;Endrin;mg/l;0,0001;<0,00001
39;Heptachlor;mg/l;0,00003;0,000005;Heptachlor;mg/l;0,00003;0,000005;Heptachlor;mg/l;0,00003;0,000005;Heptachlor;mg/l;0,00003;0,000005;Heptachlor;mg/l;0,00003;0,000005;Heptachlor;mg/l;0,00003;0,000005;Heptachlor;mg/l;0,00003;<0,000005;Heptachlor;mg/l;0,00003;<0,000005
40;cis-Heptachlorepoxid;mg/l;0,00003;0,000005;cis-Heptachlorepoxid;mg/l;0,00003;0,000005;cis-Heptachlorepoxid;mg/l;0,00003;0,000005;cis-Heptachlorepoxid;mg/l;0,00003;0,000005;cis-Heptachlorepoxid;mg/l;0,00003;0,000005;cis-Heptachlorepoxid;mg/l;0,00003;0,000005;cis-Heptachlorepoxid;mg/l;0,00003;<0,000005;cis-Heptachlorepoxid;mg/l;0,00003;<0,000005
41;trans-Heptachlorepoxid;mg/l;0,00003;0,000005;trans-Heptachlorepoxid;mg/l;0,00003;0,000005;trans-Heptachlorepoxid;mg/l;0,00003;0,000005;trans-Heptachlorepoxid;mg/l;0,00003;0,000005;trans-Heptachlorepoxid;mg/l;0,00003;0,000005;trans-Heptachlorepoxid;mg/l;0,00003;0,000005;trans-Heptachlorepoxid;mg/l;0,00003;<0,000005;trans-Heptachlorepoxid;mg/l;0,00003;<0,000005
42;alpha-Endosulfan;mg/l;0,0001;0,00001;alpha-Endosulfan;mg/l;0,0001;0,00001;alpha-Endosulfan;mg/l;0,0001;0,00001;alpha-Endosulfan;mg/l;0,0001;0,00001;alpha-Endosulfan;mg/l;0,0001;0,00001;alpha-Endosulfan;mg/l;0,0001;0,00001;alpha-Endosulfan;mg/l;0,0001;<0,00001;alpha-Endosulfan;mg/l;0,0001;<0,00001
43;beta-Endosulfan;mg/l;0,0001;0,00001;beta-Endosulfan;mg/l;0,0001;0,00001;beta-Endosulfan;mg/l;0,0001;0,00001;beta-Endosulfan;mg/l;0,0001;0,00001;beta-Endosulfan;mg/l;0,0001;0,00001;beta-Endosulfan;mg/l;0,0001;0,00001;beta-Endosulfan;mg/l;0,0001;<0,00001;beta-Endosulfan;mg/l;0,0001;<0,00001
44;alpha-Chlordan;mg/l;0,0001;0,00001;alpha-Chlordan;mg/l;0,0001;0,00001;alpha-Chlordan;mg/l;0,0001;0,00001;alpha-Chlordan;mg/l;0,0001;0,00001;alpha-Chlordan;mg/l;0,0001;0,00001;alpha-Chlordan;mg/l;0,0001;0,00001;alpha-Chlordan;mg/l;0,0001;<0,00001;alpha-Chlordan;mg/l;0,0001;<0,00001
45;gamma-Chlordan;mg/l;0,0001;0,00001;gamma-Chlordan;mg/l;0,0001;0,00001;gamma-Chlordan;mg/l;0,0001;0,00001;gamma-Chlordan;mg/l;0,0001;0,00001;gamma-Chlordan;mg/l;0,0001;0,00001;gamma-Chlordan;mg/l;0,0001;0,00001;gamma-Chlordan;mg/l;0,0001;<0,00001;gamma-Chlordan;mg/l;0,0001;<0,00001
46;oxi-Chlordan;mg/l;0,0001;0,00001;oxi-Chlordan;mg/l;0,0001;0,00001;oxi-Chlordan;mg/l;0,0001;0,00001;oxi-Chlordan;mg/l;0,0001;0,00001;oxi-Chlordan;mg/l;0,0001;0,00001;oxi-Chlordan;mg/l;0,0001;0,00001;oxi-Chlordan;mg/l;0,0001;<0,00001;oxi-Chlordan;mg/l;0,0001;<0,00001
47;Methoxychlor;mg/l;0,0001;0,00001;Methoxychlor;mg/l;0,0001;0,00001;Methoxychlor;mg/l;0,0001;0,00001;Methoxychlor;mg/l;0,0001;0,00001;Methoxychlor;mg/l;0,0001;0,00001;Methoxychlor;mg/l;0,0001;0,00001;Methoxychlor;mg/l;0,0001;<0,00001;Methoxychlor;mg/l;0,0001;<0,00001
48;2,6-Dichlorbenzamid;mg/l;0,0001;0,000025;2,6-Dichlorbenzamid;mg/l;0,0001;0,000025;2,6-Dichlorbenzamid;mg/l;0,0001;0,000025;2,6-Dichlorbenzamid;mg/l;0,0001;0,000025;2,6-Dichlorbenzamid;mg/l;0,0001;0,000025;2,6-Dichlorbenzamid;mg/l;0,0001;0,000025;2,6-Dichlorbenzamid;mg/l;0,0001;<0,000025;2,6-Dichlorbenzamid;mg/l;0,0001;<0,000025
49;Atrazin;mg/l;0,0001;0,000025;Atrazin;mg/l;0,0001;0,000025;Atrazin;mg/l;0,0001;0,000025;Atrazin;mg/l;0,0001;0,000025;Atrazin;mg/l;0,0001;0,000025;Atrazin;mg/l;0,0001;0,000025;Atrazin;mg/l;0,0001;<0,000025;Atrazin;mg/l;0,0001;<0,000025
50;Chloridazon;mg/l;0,0001;0,000025;Chloridazon;mg/l;0,0001;0,000025;Chloridazon;mg/l;0,0001;0,000025;Chloridazon;mg/l;0,0001;0,000025;Chloridazon;mg/l;0,0001;0,000025;Chloridazon;mg/l;0,0001;0,000025;Chloridazon;mg/l;0,0001;<0,000025;Chloridazon;mg/l;0,0001;<0,000025
